timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-06-27,679.35,688.57,678.14,684.34,684.34,2404849,0.0000,1.0
2024-06-26,672.41,682.96,670.02,677.69,677.69,3545815,0.0000,1.0
2024-06-25,673.44,673.665,662.3,672.41,672.41,2278768,0.0000,1.0
2024-06-24,685.0,685.5,664.5,669.02,669.02,3916335,0.0000,1.0
2024-06-21,683.26,686.9,678.1,686.12,686.12,4557086,0.0000,1.0
2024-06-20,681.8,689.88,673.7203,679.03,679.03,2585089,0.0000,1.0
2024-06-18,675.63,687.06,674.64,685.67,685.67,2943775,0.0000,1.0
2024-06-17,669.11,682.7099,665.1101,675.83,675.83,3631184,0.0000,1.0
2024-06-14,655.05,675.58,652.64,669.38,669.38,4447116,0.0000,1.0
2024-06-13,644.0,655.25,642.35,653.26,653.26,1863587,0.0000,1.0
2024-06-12,652.21,655.78,643.11,650.06,650.06,2094381,0.0000,1.0
2024-06-11,640.72,650.19,640.52,648.55,648.55,2167417,0.0000,1.0
2024-06-10,641.01,644.79,635.59,644.5,644.5,2066759,0.0000,1.0
2024-06-07,649.38,650.4,640.2401,641.47,641.47,1876631,0.0000,1.0
2024-06-06,644.89,657.99,644.2368,648.52,648.52,2466664,0.0000,1.0
2024-06-05,634.02,651.25,628.25,650.27,650.27,2682614,0.0000,1.0
2024-06-04,633.78,635.2299,626.44,631.62,631.62,3008151,0.0000,1.0
2024-06-03,645.215,646.78,627.27,633.79,633.79,2323506,0.0000,1.0
2024-05-31,644.01,648.58,628.3,641.62,641.62,4071023,0.0000,1.0
2024-05-30,653.52,656.4899,644.73,647.66,647.66,2393354,0.0000,1.0
2024-05-29,644.13,664.25,643.89,654.62,654.62,3695935,0.0000,1.0
2024-05-28,647.05,649.75,643.03,649.0,649.0,2609451,0.0000,1.0
2024-05-24,639.4,652.0,637.6,646.75,646.75,2615260,0.0000,1.0
2024-05-23,642.34,642.71,630.0,635.67,635.67,2313939,0.0000,1.0
2024-05-22,647.14,649.25,638.12,640.47,640.47,2176174,0.0000,1.0
2024-05-21,636.76,650.88,634.22,650.61,650.61,2920155,0.0000,1.0
2024-05-20,620.4,644.37,619.52,640.82,640.82,3857853,0.0000,1.0
2024-05-17,617.0,625.79,614.7141,621.1,621.1,3782708,0.0000,1.0
2024-05-16,615.75,618.34,609.09,610.52,610.52,3056350,0.0000,1.0
2024-05-15,618.57,624.1,609.1,613.52,613.52,5670607,0.0000,1.0
2024-05-14,615.17,621.48,608.4,613.66,613.66,2792358,0.0000,1.0
2024-05-13,614.3,618.219,606.83,616.59,616.59,2086197,0.0000,1.0
2024-05-10,619.0,623.98,605.06,610.87,610.87,2653586,0.0000,1.0
2024-05-09,614.4,615.72,605.75,612.09,612.09,2065375,0.0000,1.0
2024-05-08,601.63,618.22,601.63,609.47,609.47,3093904,0.0000,1.0
2024-05-07,596.28,606.05,591.32,606.0,606.0,3614092,0.0000,1.0
2024-05-06,581.82,597.34,580.25,596.97,596.97,3686337,0.0000,1.0
2024-05-03,566.0,580.26,565.16,579.34,579.34,3307524,0.0000,1.0
2024-05-02,556.02,565.46,555.59,565.15,565.15,3068228,0.0000,1.0
2024-05-01,547.84,560.39,544.25,551.71,551.71,3473233,0.0000,1.0
2024-04-30,560.0,560.0,549.375,550.64,550.64,3361492,0.0000,1.0
2024-04-29,559.18,559.64,554.24,559.49,559.49,2508882,0.0000,1.0
2024-04-26,558.21,562.92,553.19,561.23,561.23,4332593,0.0000,1.0
2024-04-25,549.46,566.54,545.705,564.8,564.8,3807101,0.0000,1.0
2024-04-24,574.31,576.907,551.3,555.12,555.12,5355312,0.0000,1.0
2024-04-23,556.49,579.21,555.28,577.75,577.75,4975520,0.0000,1.0
2024-04-22,550.66,558.61,542.01,554.6,554.6,8597651,0.0000,1.0
2024-04-19,567.88,579.0,552.16,555.04,555.04,16449699,0.0000,1.0
2024-04-18,612.1,621.33,605.435,610.56,610.56,8468407,0.0000,1.0
2024-04-17,620.97,620.97,607.71,613.69,613.69,3312222,0.0000,1.0
2024-04-16,607.5,622.45,607.5,617.52,617.52,3519122,0.0000,1.0
2024-04-15,630.17,630.17,603.871,607.15,607.15,3085394,0.0000,1.0
2024-04-12,628.23,633.1199,618.915,622.83,622.83,2959269,0.0000,1.0
2024-04-11,624.42,631.66,617.24,628.78,628.78,2662662,0.0000,1.0
2024-04-10,610.97,620.14,609.34,618.58,618.58,2806248,0.0000,1.0
2024-04-09,631.99,631.99,615.6347,618.2,618.2,2135639,0.0000,1.0
2024-04-08,636.39,639.0,628.11,628.41,628.41,2129483,0.0000,1.0
2024-04-05,624.92,637.91,622.71,636.18,636.18,3327195,0.0000,1.0
2024-04-04,633.21,638.0,616.58,617.14,617.14,3008557,0.0000,1.0
2024-04-03,612.745,630.41,611.5,630.08,630.08,2913989,0.0000,1.0
2024-04-02,611.0,615.03,605.5101,614.21,614.21,2018210,0.0000,1.0
2024-04-01,608.0,615.11,605.571,614.31,614.31,2063845,0.0000,1.0
2024-03-28,614.99,615.0,601.59,607.33,607.33,3708803,0.0000,1.0
2024-03-27,629.01,631.35,610.73,613.53,613.53,2628267,0.0000,1.0
2024-03-26,625.2,634.3899,619.1836,629.24,629.24,2804453,0.0000,1.0
2024-03-25,627.9,630.46,623.16,627.46,627.46,1803264,0.0000,1.0
2024-03-22,624.16,629.05,621.0,628.01,628.01,2135688,0.0000,1.0
2024-03-21,630.65,634.3617,622.33,622.71,622.71,2507671,0.0000,1.0
2024-03-20,619.95,629.505,618.34,627.69,627.69,2639509,0.0000,1.0
2024-03-19,615.62,621.28,608.0,620.74,620.74,2142613,0.0000,1.0
2024-03-18,613.56,627.41,610.4481,618.39,618.39,3344244,0.0000,1.0
2024-03-15,622.92,622.92,603.82,605.88,605.88,6671629,0.0000,1.0
2024-03-14,615.0,620.8,607.35,613.01,613.01,3110468,0.0000,1.0
2024-03-13,613.37,614.8499,607.21,609.45,609.45,2178292,0.0000,1.0
2024-03-12,600.21,615.3,596.27,611.08,611.08,2798854,0.0000,1.0
2024-03-11,608.08,611.0,600.37,600.93,600.93,2479366,0.0000,1.0
2024-03-08,608.27,616.09,600.84,604.82,604.82,2777243,0.0000,1.0
2024-03-07,599.34,610.53,595.9,608.51,608.51,2742805,0.0000,1.0
2024-03-06,602.99,607.93,593.5555,597.69,597.69,2469592,0.0000,1.0
2024-03-05,610.1,610.91,592.0,598.5,598.5,3849563,0.0000,1.0
2024-03-04,621.56,624.42,615.08,615.83,615.83,3020306,0.0000,1.0
2024-03-01,599.81,620.28,599.5,619.34,619.34,4270305,0.0000,1.0
2024-02-29,604.25,604.5161,595.16,602.92,602.92,3572082,0.0000,1.0
2024-02-28,595.79,598.17,590.01,596.48,596.48,2605242,0.0000,1.0
2024-02-27,595.0,605.36,592.33,601.67,601.67,4489355,0.0000,1.0
2024-02-26,583.56,590.75,583.27,587.65,587.65,2393712,0.0000,1.0
2024-02-23,586.4,592.43,579.82,583.56,583.56,2568852,0.0000,1.0
2024-02-22,582.75,590.85,578.885,588.47,588.47,3526597,0.0000,1.0
2024-02-21,573.51,575.775,567.32,573.35,573.35,2281143,0.0000,1.0
2024-02-20,580.18,586.0,569.66,575.13,575.13,3124236,0.0000,1.0
2024-02-16,596.95,597.0,577.46,583.95,583.95,4325689,0.0000,1.0
2024-02-15,581.91,593.77,580.32,593.46,593.46,5220938,0.0000,1.0
2024-02-14,567.26,581.248,564.34,579.33,579.33,5634226,0.0000,1.0
2024-02-13,550.8,559.1999,549.0,554.52,554.52,3511453,0.0000,1.0
2024-02-12,560.36,568.44,557.0,557.85,557.85,3608487,0.0000,1.0
2024-02-09,565.0,566.0,558.1,561.32,561.32,3055698,0.0000,1.0
2024-02-08,560.55,563.7,555.74,558.53,558.53,3175468,0.0000,1.0
2024-02-07,558.16,567.8,554.98,559.3,559.3,4373591,0.0000,1.0
2024-02-06,564.12,566.3399,554.37,555.88,555.88,2840300,0.0000,1.0
2024-02-05,562.47,575.75,557.195,562.06,562.06,4143099,0.0000,1.0
