timestamp,cpi,fed,spy,gld
2024-05-01,314.069,5.33,525.6718,215.3
2024-04-01,313.548,5.33,500.3636,211.87
2024-03-01,312.332,5.33,521.3857,205.72
2024-02-01,310.326,5.33,504.8645,189.31
2024-01-01,308.417,5.33,479.824,188.45
2023-12-01,306.746,5.33,472.3019,191.17
2023-11-01,307.051,5.33,451.6772,188.75
2023-10-01,307.671,5.33,413.8725,184.09
2023-09-01,307.789,5.33,423.0565,171.45
2023-08-01,307.026,5.33,444.104,180.02
2023-07-01,305.691,5.12,451.4409,182.35
2023-06-01,305.109,5.08,437.1321,178.27
2023-05-01,304.127,5.06,410.5243,182.32
2023-04-01,303.363,4.83,408.638,184.8
2023-03-01,301.836,4.65,402.2126,183.22
2023-02-01,300.84,4.57,387.815,169.78
2023-01-01,299.17,4.33,397.8172,179.41
2022-12-01,296.797,4.1,374.2797,169.64
2022-11-01,297.711,3.78,397.1457,164.81
2022-10-01,298.012,3.08,376.2305,151.91
2022-09-01,296.808,2.56,347.9506,154.67
2022-08-01,296.171,2.33,383.3814,159.27
2022-07-01,296.276,1.68,399.6895,164.1
2022-06-01,296.311,1.21,365.9867,168.46
2022-05-01,292.296,0.77,398.8822,171.14
2022-04-01,289.109,0.33,397.9838,176.91
2022-03-01,287.504,0.2,436.2753,180.65
2022-02-01,283.716,0.08,420.4838,178.38
2022-01-01,281.148,0.08,433.2727,168.09
2021-12-01,278.802,0.08,457.3964,170.96
2021-11-01,277.948,0.08,437.161,165.5
2021-10-01,276.589,0.08,440.7019,166.65
2021-09-01,274.31,0.08,411.808,164.22
2021-08-01,273.567,0.09,431.925,169.69
2021-07-01,273.003,0.1,419.4425,169.82
2021-06-01,271.696,0.08,409.4469,165.63
2021-05-01,269.195,0.06,400.4477,178.38
2021-04-01,267.054,0.07,397.8355,165.66
2021-03-01,264.877,0.07,377.8436,159.96
2021-02-01,263.014,0.08,361.4328,161.81
2021-01-01,261.582,0.09,351.6548,172.61
2020-12-01,260.474,0.09,355.2752,178.36
2020-11-01,260.229,0.09,342.5773,166.67
2020-10-01,260.388,0.09,308.9686,176.2
2020-09-01,260.28,0.09,316.8693,177.12
2020-08-01,259.918,0.1,329.1801,184.83
2020-07-01,259.101,0.09,307.7034,185.43
2020-06-01,257.797,0.08,290.5899,167.37
2020-05-01,256.394,0.05,285.5189,162.91
2020-04-01,256.389,0.05,272.5339,158.8
2020-03-01,258.115,0.65,241.826,148.05
2020-02-01,258.678,1.58,276.2597,148.38
2020-01-01,257.971,1.55,300.0102,149.33
2019-12-01,256.974,1.55,300.1315,142.9
2019-11-01,257.208,1.55,291.6634,137.86
2019-10-01,257.346,1.83,281.4746,142.43
2019-09-01,256.759,2.04,275.3872,138.87
2019-08-01,256.558,2.13,270.1255,143.75
2019-07-01,256.571,2.4,274.7253,133.21
2019-06-01,256.143,2.38,270.6335,133.2
2019-05-01,256.092,2.39,253.0248,123.33
2019-04-01,255.548,2.42,270.2596,121.2
2019-03-01,254.202,2.41,259.6522,122.01
2019-02-01,252.776,2.4,255.0413,123.99
2019-01-01,251.712,2.4,247.0335,124.75
2018-12-01,251.233,2.27,228.7209,121.25
